Title,Description,Summary
"Des ordinateurs conçus à base de champignons, capables de stocker et transmettre des données","Des chercheurs de l’université de l’Ohio, aux États-Unis, ont mis au point un ordinateur à partir de champignons.","Des chercheurs de l’université de l’Ohio, aux États-Unis, ont mis au point un ordinateur à partir de champignons."
"L'Américain James Watson, prix Nobel de médecine en 1962 et pionnier de l'ADN, est mort à l'âge de 97 ans","James Watson a révolutionné la science en découvrant la structure de l'ADN avec son collègue britannique Francis Crick, un accomplissement majeur terni par des propos racistes.","James Watson a révolutionné la science en découvrant la structure de l'ADN avec son collègue britannique Francis Crick, un accomplissement majeur terni par des propos racistes."
Une société japonaise veut développer un voyage en fusée pour faire Tokyo New-York en 60 minutes,"Prendre un déjeuner à New York et arriver une heure plus tard pour un rendez-vous à Tokyo. Cela ressemble à de la science-fiction, mais c'est ce que souhaite proposer le groupe japonais Innovative Space Carrier.","Prendre un déjeuner à New York et arriver une heure plus tard pour un rendez-vous à Tokyo. Cela ressemble à de la science-fiction, mais c'est ce que souhaite proposer le groupe japonais Innovative Space Carrier."
Archéologie : les routes de l'Empire romain étaient beaucoup plus nombreuses qu'imaginé,"Dans une étude publiée jeudi dans la revue ""Nature"", des archéologues européens ont recensé 100 000 km de routes de plus par rapport à ce qui était connu. Ils ont conçu une carte interactive pour visualiser tous les tracés désormais identifiés.","Dans une étude publiée jeudi dans la revue ""Nature"", des archéologues européens ont recensé 100 000 km de routes de plus par rapport à ce qui était connu. Ils ont conçu une carte interactive pour visualiser tous les tracés désormais identifiés."
"""Super Lune"" : l'astre sera un peu plus gros et un peu plus lumineux que d'habitude dans la nuit de mercredi à jeudi","""Pour l'observateur attentif, ça peut être intéressant, mais ça n'a rien de spectaculaire"", prévient Florent Deleflie, astronome à l'Observatoire de Paris.","""Pour l'observateur attentif, ça peut être intéressant, mais ça n'a rien de spectaculaire"", prévient Florent Deleflie, astronome à l'Observatoire de Paris."
"Volcans, inondations, glissements de terrain... Sentinel 1-D, le nouveau satellite européen qui scrute la Terre depuis l’espace","Lancé depuis la Guyane à bord d’Ariane 6, le satellite Sentinel 1-D pourra observer la Terre jour et nuit, par tous les temps. Il livrera ainsi des données essentielles et précieuses pour surveiller l'environnement et les effets du changement climatique.","Lancé depuis la Guyane à bord d’Ariane 6, le satellite Sentinel 1-D pourra observer la Terre jour et nuit, par tous les temps. Il livrera ainsi des données essentielles et précieuses pour surveiller l'environnement et les effets du changement climatique."
"La fusée européenne Ariane 6 réalise un nouveau décollage réussi en Guyane, pour son troisième vol commercial",La fusée emporte à son bord le satellite Sentinel-1D dans le cadre du programme Copernicus de l'Union européenne.,La fusée emporte à son bord le satellite Sentinel-1D dans le cadre du programme Copernicus de l'Union européenne.
"PODCAST. Jeux d'argent illégaux en ligne, TGV en Europe, Thomas Pesquet ne rêve plus de Mars : ça dit quoi ce 4 novembre ?","Ce mardi 4 novembre, plus de 5 millions de Français jouent de l'argent sur des sites illégaux, l’Europe rêve d’un grand réseau de TGV transfrontaliers, et Thomas Pesquet a peur de ""péter un plomb"" s'il va un jour sur Mars.","Ce mardi 4 novembre, plus de 5 millions de Français jouent de l'argent sur des sites illégaux, l’Europe rêve d’un grand réseau de TGV transfrontaliers, et Thomas Pesquet a peur de ""péter un plomb"" s'il va un jour sur Mars."
Pourquoi claque-t-on des dents quand il fait froid ?,"Face au froid, le corps humain adopte différentes stratégies pour maintenir sa température interne et protéger les organes vitaux. La chair de poule, les frissons et les claquements de dents viennent de là.","Face au froid, le corps humain adopte différentes stratégies pour maintenir sa température interne et protéger les organes vitaux. La chair de poule, les frissons et les claquements de dents viennent de là."
"Sous l’émail des dents des agriculteurs du Néolithique, la trace d’une société ouverte et solidaire","En étudiant les dents des premiers agriculteurs du Néolithique, des archéologues ont mis en lumière leurs déplacements, leur intégration et leur manière d’accueillir les étrangers.","En étudiant les dents des premiers agriculteurs du Néolithique, des archéologues ont mis en lumière leurs déplacements, leur intégration et leur manière d’accueillir les étrangers."
