Title,Description,Summary
"Boulangeries, restaurants, influenceurs... La folie du trompe-l'œil culinaire gagne du terrain en France","C’est un jeu pour les pâtissiers, et un produit d’appel pour les clients potentiels. Le trompe-l'œil culinaire fait fureur chez les gastronomes, alors que les échanges de vidéos sur les réseaux sociaux alimentent le phénomène.","C’est un jeu pour les pâtissiers, et un produit d’appel pour les clients potentiels. Le trompe-l'œil culinaire fait fureur chez les gastronomes, alors que les échanges de vidéos sur les réseaux sociaux alimentent le phénomène."
"Budget de la Sécurité sociale 2026 : voici ce qui a été adopté, modifié et rejeté par les députés à l'Assemblée nationale","Lors de l'examen du projet de loi de financement de la Sécurité sociale, les députés ont largement modifié le projet du gouvernement. Franceinfo vous résume les changements apportés en première lecture au texte.","Lors de l'examen du projet de loi de financement de la Sécurité sociale, les députés ont largement modifié le projet du gouvernement. Franceinfo vous résume les changements apportés en première lecture au texte."
DIRECT. Budget de la Sécurité sociale 2026 : les députés suppriment l'article élargissant le champ des franchises médicales,"Après avoir adopté le volet ""recettes"" du projet de loi de financement de la Sécu, les élus ont entamé, samedi soir, l'examen de la partie ""recettes"".","Après avoir adopté le volet ""recettes"" du projet de loi de financement de la Sécu, les élus ont entamé, samedi soir, l'examen de la partie ""recettes""."
"Budget de la Sécurité sociale : les députés adoptent la partie ""recettes"" du texte, permettant la poursuite des débats à l'Assemblée","Un rejet aurait coupé court à l'examen du texte tout entier, l'envoyant au Sénat, sans que puisse être débattu le volet ""dépenses"" et des mesures phares comme la suspension de la réforme des retraites.","Un rejet aurait coupé court à l'examen du texte tout entier, l'envoyant au Sénat, sans que puisse être débattu le volet ""dépenses"" et des mesures phares comme la suspension de la réforme des retraites."
Shein : Le vrai ou faux junior répond aux questions sur les polémiques,"Après la découverte de poupées sexuelles ressemblant à des enfants sur le site de Shein, quatre enquêtes ont été ouvertes en France. Les collégiens du collège Turgot, à Denain, ont voulu en savoir plus sur cette histoire.","Après la découverte de poupées sexuelles ressemblant à des enfants sur le site de Shein, quatre enquêtes ont été ouvertes en France. Les collégiens du collège Turgot, à Denain, ont voulu en savoir plus sur cette histoire."
Services numériques : combien êtes-vous prêts à payer pour ne pas être pisté ?,"Les services numériques du quotidien (messagerie, vidéos, cartographie…) sont généralement accessibles gratuitement en échange de nos données personnelles. La CNIL a cherché à savoir quels montants nous serions prêts à débourser pour échapper à ce profilage permanent.","Les services numériques du quotidien (messagerie, vidéos, cartographie…) sont généralement accessibles gratuitement en échange de nos données personnelles. La CNIL a cherché à savoir quels montants nous serions prêts à débourser pour échapper à ce profilage permanent."
Transports : dans les coulisses du premier téléphérique d'Île-de-France,"D'ici un peu plus d'un mois, les habitants du Val-de-Marne vont pouvoir prendre de la hauteur et gagner du temps pour se déplacer, à bord de cabines 100% électriques. Elles pourront accueillir jusqu'à onze mille personnes par jour.","D'ici un peu plus d'un mois, les habitants du Val-de-Marne vont pouvoir prendre de la hauteur et gagner du temps pour se déplacer, à bord de cabines 100% électriques. Elles pourront accueillir jusqu'à onze mille personnes par jour."
Mercosur : la colère des agriculteurs français face à Emmanuel Macron,"Les syndicats agricoles réagissent avec colère à une déclaration du président Emmanuel Macron, qui s'est dit plutôt ""favorable"" au Mercosur. Jusqu'ici, il affirmait être fermement opposé à cet accord commercial entre l'UE et les pays d'Amérique du Sud.","Les syndicats agricoles réagissent avec colère à une déclaration du président Emmanuel Macron, qui s'est dit plutôt ""favorable"" au Mercosur. Jusqu'ici, il affirmait être fermement opposé à cet accord commercial entre l'UE et les pays d'Amérique du Sud."
"L'affaire Shein, symptôme d'une nouvelle forme de colonisation","L'actualité remise en perspective chaque samedi, grâce à l'historien Fabrice d'Almeida.","L'actualité remise en perspective chaque samedi, grâce à l'historien Fabrice d'Almeida."
En quoi la recherche immobilière est-elle bouleversée par l'IA ?,"Le salon RENT qui s’est tenu cette semaine à Paris (5 et 6 novembre) et qui réunit chaque année, de nombreux professionnels de l’immobilier, a mis en lumière une série d’innovations technologiques. L’IA, a été au centre des discussions…","Le salon RENT qui s’est tenu cette semaine à Paris (5 et 6 novembre) et qui réunit chaque année, de nombreux professionnels de l’immobilier, a mis en lumière une série d’innovations technologiques. L’IA, a été au centre des discussions…"
Consommation : le Nutri-score bientôt obligatoire sur les sodas et confiseries ?,"L'Assemblée nationale a adopté une mesure, dans la soirée du vendredi 7 novembre, pour rendre l'affichage du Nutri-score obligatoire sur presque tous les produits. Explications.","L'Assemblée nationale a adopté une mesure, dans la soirée du vendredi 7 novembre, pour rendre l'affichage du Nutri-score obligatoire sur presque tous les produits. Explications."
Un acquéreur de poupées sexuelles sur Shein mis en examen en Isère pour détention d'images pédopornographiques,"Le quadragénaire s'était spontanément présenté à la gendarmerie, mercredi, reconnaissant avoir acheté deux de ces poupées sur le site de commerce en ligne. Des images pédopornographiques ont été découvertes à son domicile.","Le quadragénaire s'était spontanément présenté à la gendarmerie, mercredi, reconnaissant avoir acheté deux de ces poupées sur le site de commerce en ligne. Des images pédopornographiques ont été découvertes à son domicile."
Taxes douanières : les ventes de cognac en baisse de 38% sur les quatre derniers mois par rapport à 2024,"La fillière est profondément affectée par les droits de douane, à hauteur de 15%, décidés par les États-Unis, premier pays importateur de cognac.","La fillière est profondément affectée par les droits de douane, à hauteur de 15%, décidés par les États-Unis, premier pays importateur de cognac."
"Nutri-score obligatoire : ""On aurait pu imaginer que ce soit obligatoire pour tous les produits"", regrette l'UFC-Que Choisir",La mesure adoptée vendredi par les députés ne concernent pas certains produits issus du terroir.,La mesure adoptée vendredi par les députés ne concernent pas certains produits issus du terroir.
Poupées pédopornographiques sur Shein : l'association La voix de l'Enfant a porté plainte,"La présidente de l'association salue les procédures engagées par le gouvernement français et appelle à poursuivre ""tous les prédateurs qui ont pu se fournir chez Shein"".","La présidente de l'association salue les procédures engagées par le gouvernement français et appelle à poursuivre ""tous les prédateurs qui ont pu se fournir chez Shein""."
